shelfmark,author,title,query,query_results
14117. bbb. 24.,"'ABD al-RAHMAN, Hafiz, Amritsari.",KITAB AL-SARF,'ABD al-RAHMAN,4833
14105. d. 106.,"'ABD al-SHAKUR, Maulana",KHULAFA'E RASHIDIN,'ABD al-SHAKUR,28
14109. a. 212.,"NIYKZ (Mubammad 'Abdullah), Raja.",KHUDA AUR US KE RASUL,NIYKZ (Mubammad 'Abdullah),NO RESULTS
14112. h. 21,"NASIM, B.A.",EHUNI TOLAH,NASIM,2491
14109. a. 213.,"'ABD al-WAHID, Dr.",KHULAFA-I-RASHIDIN,'ABD al-WAHID,554
14114. e. 208,"ISHRAT, Kirtpuri",KAKUL-I-SUBH,ISHRAT,444
14114. 144.,MULLA (Anand Narayan),KUCHH ZARE KUCHH TARE,MULLA (Anand Narayan),1
14112. a. 629,IBN SAFI,KUCHLI HU'I LASH,IBN SAFI,192
14112. a. 294.,"SIDDIEI (Sadik Husain), Maulana.",KHAROSH-I-INTIEXN,SIDDIEI (Sadik Husain),NO RESULTS
14112. b. 468.,IBN SAFI,KALI TASWIR,IBN SAFI,192
14112. b. 435.,MALIUABADI (Na'il),KAMAN,MALIUABADI (Na'il),NO RESULTS
14112. b. 136,"KAISI, Rampuri.",KINARA NA MILA,KAISI,111
14112. k. 177,KESYACANDRA,KRSNACANDRA KE BIHTARIN AFSANE,KESYACANDRA,NO RESULTS
14117. ee. 8,"KAIFI (Brij Mohan), Datatariyah",KAIFIYAH,KAIFI (Brij Mohan),1
14117. a. 64.,"FARUKI (Abmad), Khwajah.",KALASIKI ADAB,FARUKI (Abmad),NO RESULTS
14114. g. 87,"MUHAMMAD IBRAHIM, called ZAUK",KASA'ID-I- ZAUK,MUHAMMAD IBRAHIM,4302
14117. b. 74.,"HUSAIN (Mumtaz), Jaunpuri and AYYUB (Muhammad),",KHATT-WA-KHATTATI,HUSAIN (Mumtaz),17
14112. 1. 41,JA'FARI (Ra is Ahmad),EHUN BAHTA RAHA,JA'FARI (Ra is Ahmad),4
14119. a. 104,SRINAGAR.,KASHMIR SAZISH CASE,SRINAGAR.,1346
14117. a. 166.,"ASAR (Imdad Imam), Saiyid.",KASHIF AL-HAKA'IK,ASAR (Imdad Imam),1
14112. aa. 60,"NASIM, Hijazl.",KHAK U KHUN,NASIM,2491
14112. b. 292.,NADAWI (Rashid Akhtar),KANTON KI SEJ,NADAWI (Rashid Akhtar),NO RESULTS
14112. 1. 3,ASLAM (M.),KHWAB-I-JAWANI,ASLAM (M.),1361
14112. a. 198,VOLTAIRE (Frangois Marie Aronet de),KANDID,VOLTAIRE (Frangois Marie Aronet de),NO RESULTS
14112. b. 146,THANAWI (Shaukat),KHUDA NA-KH WASTA,THANAWI (Shaukat),0
14106. g. 52,"A'WAN (Muzaffar Husain), Hakim.",KITAB AL-MUFRADAT,A'WAN (Muzaffar Husain),0
14112. h. 79,SHAHIN (Firozah),KALI KALI TABASSUM,SHAHIN (Firozah),0
14112. b. 138,"KAISI, Rampuri.",KYA SHADI KYA GHAN,KAISI,111
14112. b. 176,"KAISI, Rampuri.",KALIM,KAISI,111
14114. e. 200.,NAKSH (Maheshoandra),KHARAM,NAKSH (Maheshoandra),NO RESULTS
14112. bb. 64,"ACHA HASHR, Ka'smarl.",KHWKB-I-HASTI,ACHA HASHR,NO RESULTS
14109. bbb. 38,JA'FARI (Ra is Ahmad),EHALIFA HARUN AL-RASHID AUR US KA 'AHD,JA'FARI (Ra is Ahmad),4
14105. f. 44.,HASAN (Ya' kub),KISHAF AL-HUDA,HASAN (Ya' kub),0
14105. c. 33,"BARELAWI (Muhammad Abmad Riza Khan),",AL-KAUKABAT AL-SHAHHABIYAH FI KUFARIYAT-I-ABI,BARELAWI (Muhammad Abmad Riza Khan),NO RESULTS
14109. b. 101.,"KASHFI (Ghulam Ahmad), Mir",KASHMIR HAMARA HAI,KASHFI (Ghulam Ahmad),0
14105. d. 89.,"DIL (Anwar), Professor.",KAMYAB ZINDAGI KA TASAWWAR,DIL (Anwar),23
14110. c. 53.,"GHALIB (Asad Allah), Khan.",KHUTUT-I-GHALIB,GHALIB (Asad Allah),8
14105. d. 82,"ZAMKHASHARAMI (Jar Allah), 'Allamah.",EHULAFA'-I-RASHIDIN,ZAMKHASHARAMI (Jar Allah),NO RESULTS
14114. ee. 114,ADAM ('Abd al-Hamid),KHARABAT,ADAM ('Abd al-Hamid),11
14112. aa. 58.,MUJIB (Muhammad),KHETI,MUJIB (Muhammad),25
14110. e. 28,GUMMI (Salim Khan),"KASHMIR, ADAB-O-SIKAFAT",GUMMI (Salim Khan),0
14112. a. 453,IBN HAIXT,KISHWARI,IBN HAIXT,NO RESULTS
14119. aa. 90.,"JINNAH (Muhammad ""AlI)",KHUIBAT-I-KA'ID-I-A'ZAM,"JINNAH (Muhammad ""AlI)",67
14104. f. 103,"ALI, Hujwiri, surnamed DATA GANJ BAKHSH",KASHF al-MAHJUB,ALI,171409
14114. g. 81,"RUSTAMI (Kamal Khan), Bijapuri",KHAWAR-NAMEH,RUSTAMI (Kamal Khan),0
14115. e. 72,"BARNI (Muhammad Ilyas), Maulana, M.A., LL.B.",KAUL-I-TAIYIB,BARNI (Muhammad Ilyas),7
14112. g. 37.,"NASIM, Hijazi.",KAISAR-O-KISRA,NASIM,2491
14105. d. 78,"SHIRWANI (Harun Khan), Professor.",FUR'AN KA NAZARIYA-I-SALTANAT,SHIRWANI (Harun Khan),NO RESULTS
14106. ggg. 17,SIDDIEI (Na'Im),KASRAT-I-ABKDI KA 'ILAJ,SIDDIEI (Na'Im),NO RESULTS
14112. h. 39,BAT (Raziyah),KHANDAN,BAT (Raziyah),25
